trajectory,seed,snapshot,candidate_count,within_snapshot_spearman,all_pair_concordance,selected_vs_baseline_correct,selected_vs_alternative_correct,selected_baseline_duplicate,selected_alternative_duplicate,selected_additive_regret,selected_relative_regret,projection_active,q_rmse_k1_rad,q_rmse_k5_rad,q_rmse_k10_rad,q_rmse_k20_rad
figure8,2,2,3,1.0,1.0,1.0,1.0,False,False,0.0022491514682769775,0.015350295767120704,True,6.921840395079926e-05,0.00020890929348145923,0.0002887982166915511,0.0006792953548332056
figure8,2,3,3,1.0,1.0,1.0,1.0,False,False,0.009299218654632568,0.029709019562365376,True,6.020410728524439e-05,0.00020405289251357317,0.000421904221487542,0.0006353508118384829
figure8,2,4,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,6.199141353135929e-05,0.00036565898335538805,0.0002311310405881765,0.0004920990177197382
figure8,2,5,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00014500382045904794,0.0006260424270294607,0.0006341214563387135,0.0008735474354277054
fast_ellipse,0,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00012429621225843826,0.0004874383157584816,0.00046227872371673584,0.001662027711669604
fast_ellipse,0,1,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,9.530200986773707e-05,0.0003834165836451575,0.0006518964364659041,0.0010479111806489527
fast_ellipse,0,2,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00018735363361580917,0.0007526452924745778,0.000500794529216364,0.000970028864685446
fast_ellipse,0,3,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.00017904457490658388,0.0007004727958701551,0.0009691656741779298,0.001222235063323751
fast_ellipse,0,4,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,7.177749648690224e-05,0.00028101482409207773,0.0006731536899072429,0.000733357078085343
fast_ellipse,0,5,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.00012032462836941704,0.0006879543361719698,0.0009362224955111742,0.001329575345152989
fast_ellipse,1,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.0001375137217110023,0.0007564396170588831,0.001197542956409355,0.001703134485675643
fast_ellipse,1,1,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,6.0700534959323704e-05,0.00033998058643192053,0.00045581485028378665,0.0007582501566503197
fast_ellipse,1,2,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,7.032233406789601e-05,0.0002361435084215676,0.00047907814344701666,0.0010833635654610891
fast_ellipse,1,3,3,0.5,0.6666666666666666,1.0,1.0,False,False,0.0,0.0,True,0.00017221734257570157,0.0005411127155336241,0.0006783321732655168,0.000833381898701191
fast_ellipse,1,4,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00010334606486139819,0.0004523637956784417,0.00045866835474347073,0.0006458213028963655
fast_ellipse,1,5,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.0001585992140462622,0.0004998202057322487,0.0010924841044470668,0.0014094965299591422
fast_ellipse,2,0,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00019056108430959284,0.000842754845507443,0.000996373884845525,0.001706926617771387
fast_ellipse,2,1,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.00015479909052373841,0.0006199400231707841,0.0007256934768520296,0.0010936628677882254
fast_ellipse,2,2,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,0.00019445418729446828,0.0008276982116512954,0.0008454002090729773,0.0007865049798662463
fast_ellipse,2,3,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.0002292937133461237,0.000874364806804806,0.0013128252467140555,0.0008179533033398911
fast_ellipse,2,4,3,1.0,1.0,1.0,1.0,False,False,0.0,0.0,True,9.231818694388494e-05,0.0003941591130569577,0.0002789596765069291,0.0007000535648937026
fast_ellipse,2,5,2,nan,1.0,nan,1.0,True,False,0.0,0.0,True,0.0001391103505739011,0.00035837493487633765,0.00037364207673817873,0.0018868409097194672
